S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
274,UNL,"39,999.00",-1.00,0.00,"40,595.90","40,595.90","39,784.00",40.00,"40,000.00"
275,UNLB,"1,620.00",0.00,0.00,"1,590.00","1,630.00","1,590.00","1,989.00","1,620.00"
276,UPCL,202.00,-2.30,-1.13,208.30,208.30,201.20,"14,290.00",204.30
277,UPPER,168.90,-0.70,-0.41,172.90,172.90,168.00,"57,529.00",169.60
278,USHEC,363.10,-5.80,-1.57,365.10,366.10,362.10,"2,770.00",368.90
279,USHL,485.00,-2.90,-0.59,488.00,492.00,470.40,"3,387.00",487.90
280,USLB,"1,600.00",10.00,0.63,"1,615.00","1,653.00","1,589.40","11,245.00","1,590.00"
281,VLBS,763.00,21.00,2.83,742.00,764.90,735.00,"19,166.00",742.00
282,VLUCL,500.10,-2.70,-0.54,502.00,509.80,499.00,"10,074.00",502.80
283,WNLB,"1,372.00",-29.00,-2.07,"1,373.20","1,397.00","1,267.00","1,338.00","1,401.00"
